# harmonic_potential   x_max = 5.000   nx = 1001   N_iter = 16   beta_ini = 4.000   beta_fin = 0.000
,Position x,Prob. density
173,-3.27,1.8456060529343433e-05
174,-3.2600000000000002,1.965538920290939e-05
175,-3.25,2.0928617499716518e-05
176,-3.24,2.2280025559454835e-05
177,-3.23,2.3714123657141273e-05
178,-3.22,2.5235663472990047e-05
179,-3.21,2.6849649848655847e-05
180,-3.2,2.8561353047118202e-05
181,-3.19,3.0376321533890233e-05
182,-3.18,3.230039529763398e-05
183,-3.17,3.4339719728677025e-05
184,-3.16,3.650076007431606e-05
185,-3.15,3.8790316490198225e-05
186,-3.14,4.1215539707450495e-05
187,-3.13,4.378394733562216e-05
188,-3.12,4.6503440821868685e-05
189,-3.11,4.938232308718364e-05
190,-3.1,5.242931686083083e-05
191,-3.09,5.5653583734484026e-05
192,-3.08,5.906474395790208e-05
193,-3.0700000000000003,6.267289699829424e-05
194,-3.06,6.648864288585419e-05
195,-3.0500000000000003,7.052310436814225e-05
196,-3.04,7.478794989638772e-05
197,-3.0300000000000002,7.929541746692882e-05
198,-3.02,8.405833934128078e-05
199,-3.0100000000000002,8.909016766850183e-05
200,-3.0,9.440500103372064e-05
201,-2.99,0.00010001761195681529
202,-2.98,0.00010594347536537941
203,-2.97,0.00011219879806616613
204,-2.96,0.0001188005492392897
205,-2.95,0.000125766491979451
206,-2.94,0.00013311521590846315
207,-2.93,0.00014086617088327204
208,-2.92,0.00014903970182358686
209,-2.91,0.00015765708468307212
210,-2.9,0.000166740563587885
211,-2.89,0.00017631338916607465
212,-2.88,0.00018639985809110665
213,-2.87,0.00019702535386238498
214,-2.86,0.00020821638884529686
215,-2.85,0.00022000064759279274
216,-2.84,0.00023240703147005032
217,-2.83,0.0002454657046031254
218,-2.82,0.00025920814117191165
219,-2.81,0.0002736671740669328
220,-2.8000000000000003,0.0002888770449287682
221,-2.79,0.00030487345558812207
222,-2.7800000000000002,0.0003216936209232353
223,-2.77,0.0003393763231508791
224,-2.7600000000000002,0.00035796196756562735
225,-2.75,0.0003774926397411126
226,-2.74,0.00039801216420561313
227,-2.73,0.0004195661646030432
228,-2.72,0.00044220212534885276
229,-2.71,0.0004659694547889032
230,-2.7,0.000490919549867635
231,-2.69,0.0005171058623101891
232,-2.68,0.0005445839663212096
233,-2.67,0.0005734116278011801
234,-2.66,0.0006036488750790148
235,-2.65,0.0006353580711575363
236,-2.64,0.0006686039874660999
237,-2.63,0.0007034538791123617
238,-2.62,0.0007399775616225373
239,-2.61,0.0007782474891570493
240,-2.6,0.0008183388341855458
241,-2.59,0.0008603295686026318
242,-2.58,0.0009043005462624632
243,-2.57,0.0009503355869074933
244,-2.56,0.0009985215614632338
245,-2.5500000000000003,0.0010489484786677078
246,-2.54,0.0011017095730012105
247,-2.5300000000000002,0.001156901393876992
248,-2.52,0.001214623896051899
249,-2.5100000000000002,0.0012749805312105488
250,-2.5,0.0013380783406734254
251,-2.49,0.0014040280491749782
252,-2.48,0.0014729441596538799
253,-2.47,0.0015449450489930113
254,-2.46,0.0016201530646427105
255,-2.45,0.0016986946220559941
256,-2.44,0.0017807003028601316
257,-2.43,0.0018663049536839665
258,-2.42,0.0019556477855558903
259,-2.41,0.0020488724737820836
260,-2.4,0.0021461272582099992
261,-2.39,0.002247565043776659
262,-2.38,0.0023533435012364112
263,-2.37,0.002463625167957252
264,-2.36,0.0025785775486698004
265,-2.35,0.002698373216047261
266,-2.34,0.0028231899109895857
267,-2.33,0.0029532106424791406
268,-2.32,0.003088623786870054
269,-2.31,0.0032296231864672354
270,-2.3000000000000003,0.00337640824724581
271,-2.29,0.0035291840355573165
272,-2.2800000000000002,0.003688161373658606
273,-2.27,0.003853556933900604
274,-2.2600000000000002,0.004025593331402905
275,-2.25,0.004204499215037142
276,-2.24,0.004390509356535177
277,-2.23,0.004583864737533601
278,-2.22,0.004784812634359414
279,-2.21,0.004993606700357229
280,-2.2,0.005210507045551968
281,-2.19,0.005435780313436478
282,-2.18,0.005669699754667622
283,-2.17,0.00591254529744965
284,-2.16,0.006164603614378254
285,-2.15,0.006426168185514516
286,-2.14,0.006697539357452047
287,-2.13,0.006979024398137529
288,-2.12,0.007270937547199103
289,-2.11,0.007573600061533943
290,-2.1,0.00788734025590155
291,-2.09,0.008212493538266525
292,-2.08,0.008549402439629738
293,-2.07,0.008898416638085322
294,-2.06,0.009259892976836218
295,-2.05,0.009634195475899877
296,-2.04,0.010021695337231986
297,-2.0300000000000002,0.010422770942994949
298,-2.02,0.010837807846700102
299,-2.0100000000000002,0.011267198756937564
300,-2.0,0.011711343513426833
301,-1.99,0.01217064905510578
302,-1.98,0.012645529379978532
303,-1.97,0.01313640549645077
304,-1.96,0.013643705365869995
305,-1.95,0.014167863835997946
306,-1.94,0.01470932256514179
307,-1.93,0.01526852993667214
308,-1.92,0.015845940963659797
309,-1.9100000000000001,0.01644201718336514
310,-1.9000000000000001,0.01705722654132219
311,-1.8900000000000001,0.01769204326475614
312,-1.8800000000000001,0.01834694772508183
313,-1.87,0.019022426289241848
314,-1.86,0.01971897115964028
315,-1.85,0.02043708020243913
316,-1.84,0.021177256763991664
317,-1.83,0.021940009475194346
318,-1.82,0.022725852043547677
319,-1.81,0.02353530303272601
320,-1.8,0.02436888562946605
321,-1.79,0.02522712739759353
322,-1.78,0.026110560019020988
323,-1.77,0.027019719021558784
324,-1.76,0.027955143493395927
325,-1.75,0.02891737578411982
326,-1.74,0.029906961192158556
327,-1.73,0.030924447638542383
328,-1.72,0.03197038532689878
329,-1.71,0.03304532638960889
330,-1.7,0.03414982452007137
331,-1.69,0.03528443459103607
332,-1.68,0.03644971225898848
333,-1.67,0.03764621355458324
334,-1.6600000000000001,0.03887449445914345
335,-1.6500000000000001,0.040135110467272236
336,-1.6400000000000001,0.04142861613562356
337,-1.6300000000000001,0.042755564617910524
338,-1.62,0.04411650718626411
339,-1.61,0.045511992739055034
340,-1.6,0.04694256729532633
341,-1.59,0.04840877347600398
342,-1.58,0.049911149972077594
343,-1.57,0.05145023099996617
344,-1.56,0.053026545744307825
345,-1.55,0.054640617788438976
346,-1.54,0.0562929645328515
347,-1.53,0.057984096601942196
348,-1.52,0.059714517239396074
349,-1.51,0.06148472169256807
350,-1.5,0.06329519658625671
